cases,deaths,incremental,Week,covid-19 en colombia,covid-19 vacuna,covid-19 hoy,covid-19 bogota
564,23,6966.0,2021-02-28,15,39,16,0
867,16,9254.0,2021-03-01,15,39,16,0
786,16,8468.0,2021-03-02,15,39,16,0
805,16,10926.0,2021-03-03,15,39,16,0
847,23,8910.0,2021-03-04,15,39,16,0
746,29,8797.0,2021-03-05,15,39,16,0
726,22,9873.0,2021-03-06,15,39,16,0
385,16,4223.0,2021-03-07,15,44,18,15
800,11,10202.0,2021-03-08,15,44,18,15
807,18,6820.0,2021-03-09,15,44,18,15
719,6,6876.0,2021-03-10,15,44,18,15
840,20,5927.0,2021-03-11,15,44,18,15
638,14,10599.0,2021-03-12,15,44,18,15
662,14,8098.0,2021-03-13,15,44,18,15
478,18,8496.0,2021-03-14,13,23,19,11
864,18,9111.0,2021-03-15,13,23,19,11
967,9,7972.0,2021-03-16,13,23,19,11
932,21,5701.0,2021-03-17,13,23,19,11
981,19,9493.0,2021-03-18,13,23,19,11
1051,17,6301.0,2021-03-19,13,23,19,11
1004,13,20492.0,2021-03-20,13,23,19,11
555,19,8359.0,2021-03-21,17,26,22,9
698,18,7553.0,2021-03-22,17,26,22,9
1389,10,7359.0,2021-03-23,17,26,22,9
1371,25,8602.0,2021-03-24,17,26,22,9
1537,24,9503.0,2021-03-25,17,26,22,9
1695,11,7082.0,2021-03-26,17,26,22,9
1422,17,9174.0,2021-03-27,17,26,22,9
877,16,10494.0,2021-03-28,0,34,17,14
1915,35,9684.0,2021-03-29,0,34,17,14
1836,20,7291.0,2021-03-30,0,34,17,14
1827,17,9390.0,2021-03-31,0,34,17,14
956,25,11679.0,2021-04-01,0,34,17,14
1039,15,8211.0,2021-04-02,0,34,17,14
2073,23,9070.0,2021-04-03,0,34,17,14
1813,35,6121.0,2021-04-04,39,48,47,99
2604,23,8592.0,2021-04-05,39,48,47,99
3587,31,8842.0,2021-04-06,39,48,47,99
3022,24,9883.0,2021-04-07,39,48,47,99
3258,33,11153.0,2021-04-08,39,48,47,99
3984,30,8534.0,2021-04-09,39,48,47,99
3117,33,11420.0,2021-04-10,39,48,47,99
2801,35,14553.0,2021-04-11,23,24,32,25
3604,31,10647.0,2021-04-12,23,24,32,25
3868,41,17639.0,2021-04-13,23,24,32,25
4463,42,23235.0,2021-04-14,23,24,32,25
4428,46,24868.0,2021-04-15,23,24,32,25
6122,41,16174.0,2021-04-16,23,24,32,25
5518,54,16822.0,2021-04-17,23,24,32,25
3263,56,17439.0,2021-04-18,20,27,36,16
5425,49,11807.0,2021-04-19,20,27,36,16
4679,54,16603.0,2021-04-20,20,27,36,16
4811,88,19388.0,2021-04-21,20,27,36,16
4816,71,17557.0,2021-04-22,20,27,36,16
4589,62,19369.0,2021-04-23,20,27,36,16
4565,71,18717.0,2021-04-24,20,27,36,16
3418,58,15852.0,2021-04-25,24,28,26,19
5427,91,22393.0,2021-04-26,24,28,26,19
5152,63,13133.0,2021-04-27,24,28,26,19
4253,85,16138.0,2021-04-28,24,28,26,19
5995,71,18382.0,2021-04-29,24,28,26,19
5882,77,16945.0,2021-04-30,24,28,26,19
3629,79,18486.0,2021-05-01,24,28,26,19
3332,103,13954.0,2021-05-02,12,18,26,9
5477,90,16435.0,2021-05-03,12,18,26,9
5316,86,10483.0,2021-05-04,12,18,26,9
3147,96,12662.0,2021-05-05,12,18,26,9
5246,87,15954.0,2021-05-06,12,18,26,9
5990,92,14893.0,2021-05-07,12,18,26,9
4869,110,21027.0,2021-05-08,12,18,26,9
3774,84,15893.0,2021-05-09,19,33,23,11
5182,126,12222.0,2021-05-10,19,33,23,11
5756,112,15461.0,2021-05-11,19,33,23,11
5629,109,15661.0,2021-05-12,19,33,23,11
6142,115,17182.0,2021-05-13,19,33,23,11
6175,118,13787.0,2021-05-14,19,33,23,11
5515,100,15906.0,2021-05-15,19,33,23,11
4051,105,12853.0,2021-05-16,23,30,30,16
4281,124,8876.0,2021-05-17,23,30,30,16
6972,114,11691.0,2021-05-18,23,30,30,16
7134,106,16787.0,2021-05-19,23,30,30,16
8020,107,14061.0,2021-05-20,23,30,30,16
8704,132,14236.0,2021-05-21,23,30,30,16
7819,119,17050.0,2021-05-22,23,30,30,16
5482,119,14781.0,2021-05-23,13,46,22,16
9158,105,12917.0,2021-05-24,13,46,22,16
9248,110,22547.0,2021-05-25,13,46,22,16
9040,123,20043.0,2021-05-26,13,46,22,16
10244,106,25371.0,2021-05-27,13,46,22,16
9545,148,17529.0,2021-05-28,13,46,22,16
8304,127,18674.0,2021-05-29,13,46,22,16
6444,135,20097.0,2021-05-30,14,56,20,23
10603,133,14712.0,2021-05-31,14,56,20,23
10341,140,17844.0,2021-06-01,14,56,20,23
10897,161,21623.0,2021-06-02,14,56,20,23
10509,150,21102.0,2021-06-03,14,56,20,23
11138,119,20290.0,2021-06-04,14,56,20,23
9420,153,27705.0,2021-06-05,14,56,20,23
6113,154,15779.0,2021-06-06,19,48,30,23
7137,144,18059.0,2021-06-07,19,48,30,23
11617,149,17642.0,2021-06-08,19,48,30,23
10523,172,24295.0,2021-06-09,19,48,30,23
12566,168,20719.0,2021-06-10,19,48,30,23
11518,187,23683.0,2021-06-11,19,48,30,23
9445,186,17801.0,2021-06-12,19,48,30,23
7031,175,16800.0,2021-06-13,23,59,29,26
