cases,deaths,incremental,Week,covid-19 en colombia,covid-19 vacuna,covid-19 hoy,covid-19 bogota
3629,79,18486.0,2021-05-01,24,28,26,19
3332,103,13954.0,2021-05-02,12,18,26,9
5477,90,16435.0,2021-05-03,12,18,26,9
5316,86,10483.0,2021-05-04,12,18,26,9
3147,96,12662.0,2021-05-05,12,18,26,9
5246,87,15954.0,2021-05-06,12,18,26,9
5990,92,14893.0,2021-05-07,12,18,26,9
4869,110,21027.0,2021-05-08,12,18,26,9
3774,84,15893.0,2021-05-09,19,33,23,11
5182,126,12222.0,2021-05-10,19,33,23,11
5756,112,15461.0,2021-05-11,19,33,23,11
5629,109,15661.0,2021-05-12,19,33,23,11
6142,115,17182.0,2021-05-13,19,33,23,11
6175,118,13787.0,2021-05-14,19,33,23,11
5515,100,15906.0,2021-05-15,19,33,23,11
4051,105,12853.0,2021-05-16,23,30,30,16
4281,124,8876.0,2021-05-17,23,30,30,16
6972,114,11691.0,2021-05-18,23,30,30,16
7134,106,16787.0,2021-05-19,23,30,30,16
8020,107,14061.0,2021-05-20,23,30,30,16
8704,132,14236.0,2021-05-21,23,30,30,16
7819,119,17050.0,2021-05-22,23,30,30,16
5482,119,14781.0,2021-05-23,13,46,22,16
9158,105,12917.0,2021-05-24,13,46,22,16
9248,110,22547.0,2021-05-25,13,46,22,16
9040,123,20043.0,2021-05-26,13,46,22,16
10244,106,25371.0,2021-05-27,13,46,22,16
9545,148,17529.0,2021-05-28,13,46,22,16
8304,127,18674.0,2021-05-29,13,46,22,16
6444,135,20097.0,2021-05-30,14,56,20,23
10603,133,14712.0,2021-05-31,14,56,20,23
10341,140,17844.0,2021-06-01,14,56,20,23
10897,161,21623.0,2021-06-02,14,56,20,23
10509,150,21102.0,2021-06-03,14,56,20,23
11138,119,20290.0,2021-06-04,14,56,20,23
9420,153,27705.0,2021-06-05,14,56,20,23
6113,154,15779.0,2021-06-06,19,48,30,23
7137,144,18059.0,2021-06-07,19,48,30,23
11617,149,17642.0,2021-06-08,19,48,30,23
10523,172,24295.0,2021-06-09,19,48,30,23
12566,168,20719.0,2021-06-10,19,48,30,23
11518,187,23683.0,2021-06-11,19,48,30,23
9445,186,17801.0,2021-06-12,19,48,30,23
7031,175,16800.0,2021-06-13,23,59,29,26
7147,194,13641.0,2021-06-14,23,59,29,26
12291,197,21332.0,2021-06-15,23,59,29,26
12024,154,33413.0,2021-06-16,23,59,29,26
11667,176,20333.0,2021-06-17,23,59,29,26
11253,149,25574.0,2021-06-18,23,59,29,26
