,00-05,05-10,10-15,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-55,55-60,60-65,65-70,70-75,75+
00-05,0.2733572709562734,0.07678744245641554,0.030303393867384846,0.01748608966510117,0.040295814327320885,0.06007463482529139,0.06961017272553027,0.05747106832256723,0.03490471949442667,0.02805313440330118,0.03915801643118026,0.05177735889639398,0.05853420273194447,0.06849929895950806,0.06186139791198018,0.05419829479579779
05-10,0.12307656439155074,0.3379613822436587,0.07205400821458129,0.019339175537107872,0.018699040119051984,0.043791860459894534,0.0632172982697243,0.0631394338254075,0.053806872565136055,0.031024427829621025,0.02735169412014288,0.040621203983888486,0.057453977944875084,0.06203573889775109,0.04656208824045407,0.05421507501558548
10-15,0.04367425989214718,0.13411533170118012,0.4070977691188785,0.048206766969818904,0.03214796571640704,0.026741826874110423,0.04031074934611972,0.05434721667363048,0.06474235804511941,0.047365097451751194,0.03375384948260685,0.02819354785234922,0.03226796586472878,0.05147403446910261,0.058150089406962535,0.0685191130003597
15-20,0.025279833600238777,0.03624187442647359,0.15949313979135357,0.4580456775691958,0.12085021807194894,0.05646480970194882,0.04287570365030185,0.056044637056975724,0.06881973908141664,0.07799100669950317,0.053825465154445785,0.03850934469437664,0.032971727848161846,0.03219942976255869,0.028377893612496825,0.03049479393921728
20-25,0.04049512667005896,0.02006018814314735,0.021510532757532477,0.1310614444822615,0.2781747756582504,0.1220458318269478,0.07702149461790399,0.06604437617017568,0.0603779981990972,0.0840410913399862,0.07520828983265933,0.0657040823157038,0.043456691063139714,0.023915056619883693,0.037915188035900604,0.04741559189860835
25-30,0.07161774003222965,0.025032167977520822,0.012452164473742209,0.040472923741204404,0.1421275055942532,0.18844469273487163,0.10819800362376304,0.08253364525361376,0.07302133178274316,0.07443527546768204,0.08944480769576311,0.07644747446229956,0.05777730793121532,0.02715181214781763,0.01935146385521893,0.02418003819718709
30-35,0.07152225969461545,0.059220491238212165,0.03779101873605919,0.022022276613243554,0.06668325107349847,0.10432019402730887,0.14169147581864364,0.1024009080051151,0.08277877987468946,0.07877304267789179,0.07707670742305052,0.08479777596488922,0.07073542743866881,0.036769266342815715,0.030344040324228307,0.03818720393819974
35-40,0.06433606663330928,0.060270857728826906,0.04137762402655774,0.030178968656122275,0.04410978234959516,0.07554910682524334,0.09294362877313674,0.1321053820102185,0.10835453876188189,0.08649584438810694,0.07961100096946823,0.06776330752556524,0.06809515217363796,0.05773329025824009,0.04970849032027428,0.02916665391270957
40-45,0.041353444750945045,0.044726561579862475,0.044995328189217074,0.04386841512226044,0.0531795238378283,0.0646229367204909,0.08287752810520262,0.09212425998103493,0.12772112781131292,0.10607530716096686,0.094974007715941,0.05664276354229408,0.06007247573935008,0.045824240847236866,0.04541394175429157,0.034409747236536524
45-50,0.03566414265833497,0.033992202269439026,0.0336440803654097,0.056458595046940264,0.05121510640311087,0.05337571924384182,0.06317359304202769,0.07169299206948522,0.07995017488658528,0.1128091826381853,0.09152870447575054,0.06819234272384506,0.04545795761055786,0.03002009463906533,0.042254562390045346,0.06471903194762162
50-55,0.03369162002427596,0.03426977987193071,0.03974010783842236,0.04530245165683306,0.05535333735221022,0.06721054674332082,0.0609617019760907,0.05788561967033952,0.08067378370292386,0.10592906965722097,0.12377792678433679,0.10789413951195145,0.06402832595625714,0.03338951834986003,0.03934405497980073,0.06008884636158097
55-60,0.05803588963290245,0.041034480971515505,0.028876401860962728,0.03190031968021004,0.04072144745115554,0.06141487792012244,0.06383973815911284,0.0485594098433866,0.05611799508896594,0.060030540529212785,0.08946721966151504,0.13310364417896492,0.10217912260325655,0.06168573758253956,0.04139023875890052,0.05272078152376876
60-65,0.050361808485298136,0.02842832427843041,0.016378679499237634,0.018058402127408585,0.02501923101642125,0.03552018204761223,0.0408857603547882,0.04277398292416942,0.03510895493220201,0.036504509878456055,0.04479353658205562,0.07976227989386599,0.12798616791004672,0.10434616298435832,0.07366541644159748,0.041490712593189046
65-70,0.031559324337901234,0.027376658524643487,0.017540738126462414,0.008692969446330008,0.01538147217639128,0.01885771648459967,0.027768590932424418,0.029486665700761246,0.025873232717007928,0.016879531641675584,0.022011913376722588,0.04333410975508524,0.07721357438164639,0.17316659330214929,0.10137589432956065,0.05792540396264939
70-75,0.012993256914520383,0.021965826160065517,0.015415732043148679,0.012697985449618754,0.007563748801669998,0.013073810204981953,0.012374461530151924,0.02259305338633541,0.024915599546935403,0.025110369981968014,0.024026913876901788,0.027973484839247744,0.07230633156140641,0.10967054450937244,0.21739678299451407,0.16570791974038065
75+,0.022981391325398438,0.018516430428677698,0.02132928109104963,0.016207538236343518,0.008477780050886397,0.008491253359413364,0.012250099075077932,0.020797349106783557,0.022832793509556068,0.028482568254470982,0.03398994641745964,0.029283139859279484,0.029463591241106837,0.0821191803277407,0.10688845664377394,0.17656079193660812
