"","region","date","year","epi_week","cases","deaths"
"1","Bogota",2020-03-02,2020,10,1,0
"2","Bogota",2020-03-08,2020,11,1,0
"3","Bogota",2020-03-09,2020,11,1,0
"4","Bogota",2020-03-11,2020,11,5,0
"5","Bogota",2020-03-12,2020,11,5,0
"6","Bogota",2020-03-13,2020,11,7,0
"7","Bogota",2020-03-14,2020,11,6,0
"8","Bogota",2020-03-15,2020,12,5,0
"9","Bogota",2020-03-16,2020,12,9,0
"10","Bogota",2020-03-17,2020,12,15,0
"11","Bogota",2020-03-18,2020,12,15,0
"12","Bogota",2020-03-19,2020,12,20,0
"13","Bogota",2020-03-20,2020,12,29,0
"14","Bogota",2020-03-21,2020,12,30,0
"15","Bogota",2020-03-22,2020,13,28,0
"16","Bogota",2020-03-23,2020,13,57,0
"17","Bogota",2020-03-24,2020,13,73,0
"18","Bogota",2020-03-25,2020,13,55,1
"19","Bogota",2020-03-26,2020,13,71,2
"20","Bogota",2020-03-27,2020,13,71,0
"21","Bogota",2020-03-28,2020,13,55,3
"22","Bogota",2020-03-29,2020,14,92,1
"23","Bogota",2020-03-30,2020,14,94,1
"24","Bogota",2020-03-31,2020,14,89,2
"25","Bogota",2020-04-01,2020,14,113,1
"26","Bogota",2020-04-02,2020,14,79,4
"27","Bogota",2020-04-03,2020,14,71,5
"28","Bogota",2020-04-04,2020,14,74,10
"29","Bogota",2020-04-05,2020,15,52,4
"30","Bogota",2020-04-06,2020,15,76,6
"31","Bogota",2020-04-07,2020,15,79,5
"32","Bogota",2020-04-08,2020,15,64,2
"33","Bogota",2020-04-09,2020,15,52,4
"34","Bogota",2020-04-10,2020,15,55,3
"35","Bogota",2020-04-11,2020,15,116,5
"36","Bogota",2020-04-12,2020,16,77,1
"37","Bogota",2020-04-13,2020,16,81,4
"38","Bogota",2020-04-14,2020,16,57,6
"39","Bogota",2020-04-15,2020,16,65,3
"40","Bogota",2020-04-16,2020,16,122,4
"41","Bogota",2020-04-17,2020,16,69,1
"42","Bogota",2020-04-18,2020,16,83,2
"43","Bogota",2020-04-19,2020,17,100,4
"44","Bogota",2020-04-20,2020,17,95,4
"45","Bogota",2020-04-21,2020,17,76,6
"46","Bogota",2020-04-22,2020,17,92,0
"47","Bogota",2020-04-23,2020,17,158,2
"48","Bogota",2020-04-24,2020,17,93,4
"49","Bogota",2020-04-25,2020,17,77,1
"50","Bogota",2020-04-26,2020,18,72,6
"51","Bogota",2020-04-27,2020,18,133,3
"52","Bogota",2020-04-28,2020,18,109,6
"53","Bogota",2020-04-29,2020,18,149,5
"54","Bogota",2020-04-30,2020,18,135,6
"55","Bogota",2020-05-01,2020,18,129,3
"56","Bogota",2020-05-02,2020,18,104,3
"57","Bogota",2020-05-03,2020,19,88,3
"58","Bogota",2020-05-04,2020,19,110,5
"59","Bogota",2020-05-05,2020,19,144,2
"60","Bogota",2020-05-06,2020,19,171,7
"61","Bogota",2020-05-07,2020,19,160,3
"62","Bogota",2020-05-08,2020,19,196,4
"63","Bogota",2020-05-09,2020,19,209,5
"64","Bogota",2020-05-10,2020,20,151,7
"65","Bogota",2020-05-11,2020,20,178,7
"66","Bogota",2020-05-12,2020,20,223,0
"67","Bogota",2020-05-13,2020,20,285,3
"68","Bogota",2020-05-14,2020,20,226,2
"69","Bogota",2020-05-15,2020,20,234,6
"70","Bogota",2020-05-16,2020,20,215,4
"71","Bogota",2020-05-17,2020,21,263,2
"72","Bogota",2020-05-18,2020,21,383,5
"73","Bogota",2020-05-19,2020,21,429,4
"74","Bogota",2020-05-20,2020,21,387,6
"75","Bogota",2020-05-21,2020,21,267,8
"76","Bogota",2020-05-22,2020,21,398,9
"77","Bogota",2020-05-23,2020,21,327,9
"78","Bogota",2020-05-24,2020,22,290,5
"79","Bogota",2020-05-25,2020,22,364,4
"80","Bogota",2020-05-26,2020,22,440,8
"81","Bogota",2020-05-27,2020,22,380,5
"82","Bogota",2020-05-28,2020,22,366,4
"83","Bogota",2020-05-29,2020,22,420,11
"84","Bogota",2020-05-30,2020,22,358,7
"85","Bogota",2020-05-31,2020,23,370,11
"86","Bogota",2020-06-01,2020,23,488,8
"87","Bogota",2020-06-02,2020,23,463,4
"88","Bogota",2020-06-03,2020,23,423,8
"89","Bogota",2020-06-04,2020,23,481,11
"90","Bogota",2020-06-05,2020,23,588,14
"91","Bogota",2020-06-06,2020,23,561,9
"92","Bogota",2020-06-07,2020,24,492,9
"93","Bogota",2020-06-08,2020,24,641,13
"94","Bogota",2020-06-09,2020,24,593,13
"95","Bogota",2020-06-10,2020,24,891,11
"96","Bogota",2020-06-11,2020,24,955,13
"97","Bogota",2020-06-12,2020,24,854,8
"98","Bogota",2020-06-13,2020,24,618,10
"99","Bogota",2020-06-14,2020,25,536,17
"100","Bogota",2020-06-15,2020,25,597,19
"101","Bogota",2020-06-16,2020,25,981,12
"102","Bogota",2020-06-17,2020,25,1228,24
"103","Bogota",2020-06-18,2020,25,1227,8
"104","Bogota",2020-06-19,2020,25,1210,16
"105","Bogota",2020-06-20,2020,25,979,12
"106","Bogota",2020-06-21,2020,26,1043,22
"107","Bogota",2020-06-22,2020,26,1013,20
"108","Bogota",2020-06-23,2020,26,1287,26
"109","Bogota",2020-06-24,2020,26,1538,24
"110","Bogota",2020-06-25,2020,26,1663,21
"111","Bogota",2020-06-26,2020,26,1685,26
"112","Bogota",2020-06-27,2020,26,1903,31
"113","Bogota",2020-06-28,2020,27,1405,33
"114","Bogota",2020-06-29,2020,27,1439,25
"115","Bogota",2020-06-30,2020,27,2009,32
"116","Bogota",2020-07-01,2020,27,2171,29
"117","Bogota",2020-07-02,2020,27,2335,38
"118","Bogota",2020-07-03,2020,27,2338,44
"119","Bogota",2020-07-04,2020,27,2162,31
"120","Bogota",2020-07-05,2020,28,1486,38
"121","Bogota",2020-07-06,2020,28,2451,41
"122","Bogota",2020-07-07,2020,28,2304,48
"123","Bogota",2020-07-08,2020,28,2485,40
"124","Bogota",2020-07-09,2020,28,2201,63
"125","Bogota",2020-07-10,2020,28,2480,61
"126","Bogota",2020-07-11,2020,28,1973,67
"127","Bogota",2020-07-12,2020,29,1965,57
"128","Bogota",2020-07-13,2020,29,2969,70
"129","Bogota",2020-07-14,2020,29,3239,70
"130","Bogota",2020-07-15,2020,29,3037,81
"131","Bogota",2020-07-16,2020,29,3100,75
"132","Bogota",2020-07-17,2020,29,3482,95
"133","Bogota",2020-07-18,2020,29,3506,80
"134","Bogota",2020-07-19,2020,30,2867,59
"135","Bogota",2020-07-20,2020,30,2540,87
"136","Bogota",2020-07-21,2020,30,3971,109
"137","Bogota",2020-07-22,2020,30,3926,92
"138","Bogota",2020-07-23,2020,30,3579,108
"139","Bogota",2020-07-24,2020,30,3773,103
"140","Bogota",2020-07-25,2020,30,3057,98
"141","Bogota",2020-07-26,2020,31,2389,108
"142","Bogota",2020-07-27,2020,31,4235,97
"143","Bogota",2020-07-28,2020,31,3810,94
"144","Bogota",2020-07-29,2020,31,4158,109
"145","Bogota",2020-07-30,2020,31,3619,123
"146","Bogota",2020-07-31,2020,31,3506,121
"147","Bogota",2020-08-01,2020,31,3117,79
"148","Bogota",2020-08-02,2020,32,2557,95
"149","Bogota",2020-08-03,2020,32,3550,112
"150","Bogota",2020-08-04,2020,32,3545,102
"151","Bogota",2020-08-05,2020,32,3795,106
"152","Bogota",2020-08-06,2020,32,3720,92
"153","Bogota",2020-08-07,2020,32,2583,110
"154","Bogota",2020-08-08,2020,32,2898,113
"155","Bogota",2020-08-09,2020,33,2198,93
"156","Bogota",2020-08-10,2020,33,3372,85
"157","Bogota",2020-08-11,2020,33,3467,96
"158","Bogota",2020-08-12,2020,33,3917,83
"159","Bogota",2020-08-13,2020,33,3730,88
"160","Bogota",2020-08-14,2020,33,3524,71
"161","Bogota",2020-08-15,2020,33,2679,73
"162","Bogota",2020-08-16,2020,34,1976,74
"163","Bogota",2020-08-17,2020,34,1938,68
"164","Bogota",2020-08-18,2020,34,3113,97
"165","Bogota",2020-08-19,2020,34,3271,81
"166","Bogota",2020-08-20,2020,34,2753,75
"167","Bogota",2020-08-21,2020,34,2645,75
"168","Bogota",2020-08-22,2020,34,1886,76
"169","Bogota",2020-08-23,2020,35,1262,56
"170","Bogota",2020-08-24,2020,35,1968,64
"171","Bogota",2020-08-25,2020,35,2509,86
"172","Bogota",2020-08-26,2020,35,6642,64
"173","Bogota",2020-08-27,2020,35,2281,82
"174","Bogota",2020-08-28,2020,35,2205,53
"175","Bogota",2020-08-29,2020,35,1962,70
"176","Bogota",2020-08-30,2020,36,1537,50
"177","Bogota",2020-08-31,2020,36,2370,53
"178","Bogota",2020-09-01,2020,36,2527,46
"179","Bogota",2020-09-02,2020,36,2460,50
