date,merch_postal_code,spendamt_clipped
2019-01-01,110001,-715538.3471753281
2019-01-01,110010,1193587.4034934693
2019-01-01,110011,436924.37939306133
2019-01-01,110111,205741.2777895985
2019-01-01,110121,676385.4948439237
2019-01-01,110131,519901.4161337634
2019-01-01,110141,410182.12291217735
2019-01-01,110151,645439.5736592759
2019-01-01,110211,1164138.4880167667
2019-01-01,110221,637776.9735180053
2019-01-01,110231,710162.1234974572
2019-01-01,110311,-99886.71217652637
2019-01-01,110321,576739.177697657
2019-01-01,110411,609751.1895571047
2019-01-01,110421,418669.7504788953
2019-01-01,110431,339394.7347841959
2019-01-01,110441,1300484.029170884
2019-01-01,110511,663601.0085022812
2019-01-01,110521,362049.19510227686
2019-01-01,110531,260132.51429614885
2019-01-01,110541,777817.6801034156
2019-01-01,110551,553133.0098722826
2019-01-01,110561,640041.2396501862
2019-01-01,110571,548436.8996692465
2019-01-01,110611,346544.0584994656
2019-01-01,110621,-16372.936534784385
2019-01-01,110711,237091.25060628302
2019-01-01,110721,860585.3222988616
2019-01-01,110811,455606.77337133343
2019-01-01,110821,945997.8997748976
2019-01-01,110831,584356.1428367675
2019-01-01,110841,559818.7748184081
2019-01-01,110851,390392.3881889841
2019-01-01,110861,-302953.08180238254
2019-01-01,110871,569626.3821736899
2019-01-01,110881,377404.2811936315
2019-01-01,110911,881548.4398576276
2019-01-01,110921,1306635.4490284685
2019-01-01,110931,179576.21848856454
2019-01-01,111011,1188266.9525710836
2019-01-01,111021,112604.05367776909
2019-01-01,111031,54630.9299116272
2019-01-01,111041,587472.1461991698
2019-01-01,111051,130045.99673191813
2019-01-01,111061,507237.2812669681
2019-01-01,111071,533734.8312389768
2019-01-01,111111,130443.86130444019
2019-01-01,111121,249670.43385819538
2019-01-01,111131,1242044.0190461017
2019-01-01,111141,1479420.059884741
2019-01-01,111151,575716.8527111248
2019-01-01,111156,678790.3848434726
2019-01-01,111166,603541.0782807124
2019-01-01,111176,692511.4823529397
2019-01-01,111211,170540.3952457031
2019-01-01,111221,189247.8852477246
2019-01-01,111311,440065.6680031927
2019-01-01,111321,746034.7617379881
2019-01-01,111411,817443.8988313545
2019-01-01,111511,2253653.0113401865
2019-01-01,111611,1038594.468321334
2019-01-01,111621,721630.3225884945
2019-01-01,111631,807745.2209613245
2019-01-01,111711,72156.3985999375
2019-01-01,111811,501679.1887180741
2019-01-01,111821,471300.1399707253
2019-01-01,111831,-456129.6239517237
2019-01-01,111841,1255754.8628321378
2019-01-01,111911,746543.8822097926
2019-01-01,111921,734166.3744932783
