,00-05,05-10,10-15,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-55,55-60,60-65,65-70,70-75,75+
00-05,0.2725334608627949,0.07837724545043667,0.019141675353389107,0.007961577921675393,0.017451207191561378,0.040635231858711096,0.049139342619010755,0.0460110450691585,0.024176579433548777,0.02819588846767162,0.020878059105221083,0.0412601912678584,0.05304454931187998,0.043367271817280256,0.01946865390669839,0.04668774691423896
05-10,0.11551568759273229,0.42656864679873036,0.1186102509986878,0.019819577097553998,0.014246342111323682,0.02408348792582202,0.06631119013768436,0.07430711314189893,0.052191563043139766,0.042840363018881895,0.045983514451628266,0.05663402017749351,0.05155713122908424,0.06830957205107295,0.05884660044491767,0.0626678047236922
10-15,0.052382492014523226,0.09694151742346566,0.5202030673174535,0.14061546140044368,0.02192404182246495,0.014717187513717095,0.05055884583789727,0.062048923820412896,0.07111409371719785,0.05737301749791938,0.07092921333912339,0.057806031675898165,0.04027350799589926,0.05694869974003719,0.05806198722305297,0.09326219878058921
15-20,0.03314552812111289,0.027483811702277195,0.06112695490140753,0.5091000891826128,0.17582835897417085,0.061852572322111825,0.0366207289392632,0.05208486411457867,0.08234915724151913,0.12635926033944844,0.09712598695762774,0.07666351605200634,0.06039201162705643,0.03762044497081689,0.06255835688690226,0.07468411801386106
20-25,0.04321123360400001,0.015355887193575246,0.02181122512092788,0.07333574944481705,0.28290207103250725,0.14190534125809684,0.0711559494078485,0.04866368658240624,0.06095576683051384,0.0682609373140365,0.06939504473170617,0.059631715946378144,0.050328644651452155,0.04382124616371724,0.0273878778600741,0.030721712895053814
25-30,0.07504549171860049,0.040331539420466564,0.01890740050145151,0.035936848147159604,0.11579786463673389,0.23936701830584356,0.11829829237791374,0.08753088739769584,0.07924317768051108,0.07280859918007308,0.08808790724405714,0.09412797390865076,0.07390445473679144,0.05584654829658989,0.04231212597330586,0.03418276837404549
30-35,0.11090874928618986,0.07070000148151141,0.0337715829581571,0.02919157247182392,0.07615298805623433,0.1212171228142306,0.19515789659190472,0.10748142588089887,0.10155744645706578,0.08761449924476206,0.07891533966707079,0.09421728612185938,0.08501193463216526,0.07873339568455164,0.041713376067992435,0.05199393990314504
35-40,0.10371839603806635,0.08465387211060818,0.05461886184460756,0.04089736849295833,0.06915223139741908,0.09346004236743677,0.12156176210392933,0.19004889738406724,0.11674903832724942,0.1010844066403244,0.07840743486015517,0.0751414281537162,0.0921548373442219,0.08330098322277252,0.07137198659700456,0.06541260381314057
40-45,0.05218238409310456,0.0670138007755975,0.06580078074655506,0.05158506008595296,0.060808679734278004,0.07911496697248865,0.09429038628650437,0.12514474156778563,0.17720401272289568,0.10842737949929371,0.10343396979780901,0.08366914095176853,0.07519382372591316,0.08563137977523365,0.09950124426100983,0.0765429738451371
45-50,0.03381608998133842,0.02754203149949704,0.0354691230167228,0.04625835090576798,0.07171281267651657,0.06677806477654005,0.07350743970769338,0.08112382661815407,0.10293463677063557,0.155000159906759,0.11532679968126966,0.07352045327801555,0.06510867622670752,0.05127678420938272,0.07389469335507767,0.09572958234868896
50-55,0.035346151391247596,0.019137440738345942,0.0200594426647709,0.02446884578469641,0.049042132627368784,0.06349040813461591,0.057230888624895844,0.05895625469105098,0.07317808262268848,0.08232795668764349,0.131156053289904,0.09349796033783232,0.06538980971007097,0.05602583188679806,0.0590551478765792,0.08527966584233734
55-60,0.027899098180551196,0.01564168336948089,0.0104417093945451,0.010858004746157208,0.027437066836895882,0.034919966818956,0.03888799467499623,0.032040407500823195,0.027614659471534228,0.037983075272966245,0.06055507365710572,0.12292440624304085,0.08495475007128354,0.06946003501562593,0.04995159859473723,0.04921366014778815
60-65,0.018209076521787434,0.013503054021367924,0.00656506514735842,0.004357953590010061,0.008056424882491826,0.011375355252504592,0.01541139311502832,0.01734466038411049,0.015010818047658317,0.014012315181090817,0.021117741077130756,0.04205633017136618,0.12669125144412552,0.07619429655238205,0.0871329954994272,0.036917491530383324
65-70,0.014260777080568394,0.00960463210995923,0.006209855922119838,0.0031108332710143094,0.0035146196974011426,0.003888184102893,0.0063138839227697766,0.010061539567435244,0.008251027203214115,0.007030500522762241,0.008672717203070057,0.016583268883977716,0.044743106605273475,0.1422852756664423,0.0854720887605517,0.053027319812673064
70-75,0.007750068919686473,0.004055925077930072,0.003967583139768913,0.0015230828421909613,0.00331123112164973,0.0018884927162776382,0.0028740416474812755,0.005111777167677646,0.005201711056928391,0.005645128566927082,0.005433431282973594,0.0073379791179370045,0.02230410121563667,0.03665132127194481,0.12399070882480732,0.055640763065977414
75+,0.0040753145936958295,0.003088910826750097,0.0032954209720770385,0.0009796246151652515,0.002661927200982658,0.0013065568597542235,0.002679964005178963,0.0020399491118456106,0.0022682293736995393,0.005036512659439959,0.004581713654147487,0.004928297712200872,0.008947409472438503,0.01452691367535199,0.03928055786786157,0.08803564998924829
