cases,covid: (United States),COVID-19: (United States),COVID-19 vaccine: (United States),onVentilatorCurrently,inIcuCurrently,deathIncrease,recovered,hospitalizedIncrease,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
15037.0,33,81,0.5,41908,645497.3409400184,14435,161374,36479.375,-45.0,-15.0,-20.0,-47.0,-33.0,14.0
15421.0,28,35,0.5,38075,13091.471659660921,13554,298023,32615.8125,-41.0,-11.0,2.0,-42.0,-32.0,12.0
13547.0,29,34,0.5,33808,960726.9253434694,12763,401797,36865.3438,-34.0,-4.0,28.0,-35.0,-29.0,10.0
12282.0,28,35,0.5,39589,430483.665731116,12659,332326,32295.8281,-30.0,7.0,9.0,-35.0,-26.0,9.0
9975.0,26,31,1.0,42468,0.0,9480,345119,22958.5859,-30.0,-3.0,32.0,-34.0,-24.0,9.0
8556.0,25,29,1.0,34871,2138739.642065875,8220,452794,25974.207,-27.0,0.0,43.0,-30.0,-21.0,7.0
6637.0,21,23,0.5,29173,565541.169487251,6553,829918,35026.3965,-24.0,-1.0,48.0,-26.0,-12.0,6.0
6117.0,19,22,0.5,25884,633153.0321694717,5720,909638,20471.8018,-21.0,1.0,51.0,-25.0,-13.0,5.0
5214.0,21,26,1.0,20994,0.0,5265,441364,16508.5991,-18.0,2.0,74.0,-20.0,-10.0,4.0
4224.0,30,34,1.0,17872,0.0,4220,434089,16168.2004,-17.0,6.0,69.0,-20.0,-11.0,3.0
3943.0,38,43,1.0,15609,0.0,3809,458209,20190.8998,-19.0,-1.0,62.0,-20.0,-12.0,4.0
3644.0,33,37,1.0,14366,1356626.8801392964,3499,641569,23253.0501,-35.0,-2.0,81.0,-30.0,-28.0,5.0
5232.0,40,42,1.0,14948,273562.8529888516,4662,797432,32020.9749,-19.0,0.0,62.0,-21.0,-12.0,4.0
5466.0,38,41,1.0,16034,755461.6795244787,5167,818593,31514.0125,-19.0,-1.0,74.0,-21.0,-13.0,4.0
6408.0,34,38,1.0,17524,0.0,6357,975203,33771.4937,-19.0,-2.0,77.0,-21.0,-13.0,4.0
7969.0,32,36,1.0,19128,0.0,7997,1223728,33824.7531,-17.0,0.0,69.0,-20.0,-14.0,4.0
7268.0,29,32,1.0,18625,149514.00351763566,7288,1269795,36258.1234,-17.0,-1.0,79.0,-20.0,-13.0,3.0
7054.0,26,29,1.0,17713,0.0,7489,1231875,27571.9383,-18.0,-2.0,67.0,-21.0,-14.0,3.0
6856.0,26,29,1.0,16592,791301.4394949885,6924,1221581,23149.5309,-17.0,-2.0,66.0,-21.0,-12.0,3.0
6397.0,23,26,1.0,14827,263809.23234430223,6526,1106177,20189.2346,-17.0,-4.0,49.0,-23.0,-13.0,4.0
5831.0,28,30,1.0,14191,547324.6258256346,5890,1107181,18245.3827,-15.0,0.0,81.0,-18.0,-17.0,2.0
5145.0,25,30,1.0,12832,0.0,5111,1030219,16673.8086,-16.0,-4.0,50.0,-22.0,-12.0,3.0
5594.0,25,28,1.0,11135,1990414.3655300327,5532,967531,16597.5957,-13.0,-2.0,62.0,-21.0,-11.0,2.0
5395.0,26,30,1.0,10848,1101460.4194821683,5260,1087434,16796.7022,-15.0,-3.0,52.0,-23.0,-10.0,2.0
4907.0,50,56,1.0,10612,600944.6785235008,4789,1133216,17661.6489,-13.0,-1.0,42.0,-20.0,-11.0,2.0
5007.0,31,37,1.0,11215,0.0,4785,1076097,21182.6755,-16.0,-4.0,46.0,-22.0,-11.0,3.0
5025.0,32,35,1.0,12142,2251.919407246911,4858,1134866,22383.6622,-14.0,-3.0,41.0,-20.0,-11.0,3.0
5702.0,35,37,1.0,14254,0.0,5659,1202394,37993.1689,-16.0,-4.0,28.0,-23.0,-10.0,3.0
5740.0,39,42,1.0,16493,0.0,5673,1373289,27925.4156,-16.0,2.0,27.0,-23.0,-10.0,3.0
6890.0,35,38,1.0,19429,386488.33146367775,6931,1567322,33795.2922,-16.0,-6.0,23.0,-27.0,-10.0,4.0
7578.0,61,64,2.0,23991,547826.4693304244,7705,1862977,42464.3539,-18.0,-6.0,2.0,-29.0,-10.0,5.0
10270.0,64,71,2.0,32202,1981677.657753151,10077,2415277,49335.3231,-20.0,-4.0,4.0,-26.0,-10.0,5.0
